PARK,M,RP,RB,FA,BG,GL,GLM,TOTAL
AGNES HAYWOOD PLAYGROUND,0,0,1,0,0,0,0,1
AQUEDUCT WALK,0,0,0,1,0,0,0,1
ARCILLA PLAYGROUND,0,0,0,1,0,0,0,1
BRIDGE PLAYGROUND,0,0,0,0,1,0,0,1
BRONX PARK,0,0,4,1,0,1,0,6
BRONX RIVER PARKWAY,0,0,0,1,0,0,0,1
CLAREMONT PARK,0,0,1,1,0,0,0,2
COONEY GRAUER FIELD,0,0,0,0,0,1,0,1
CROTONA PARK,0,1,3,0,0,1,0,5
DEVOE PARK,0,0,1,0,0,0,0,1
FOX PLAYGROUND BRONX,0,0,0,0,0,1,0,1
FRANZ SIGEL PARK,0,0,0,2,0,0,0,2
GOBLE PLAYGROUND,0,0,0,1,0,1,0,2
JOYCE KILMER PARK,0,0,0,0,0,1,0,1
LYONS SQUARE PLAYGROUND,0,0,0,1,0,0,0,1
MACOMBS DAM PARK,0,0,1,1,2,0,0,4
MILL POND PARK,0,0,0,0,2,0,0,2
MOSHOLU PARKWAY,0,0,5,0,0,0,0,5
MOSHOLU PLAYGROUND,0,0,0,0,0,1,0,1
MULLALY PARK,0,0,4,0,0,1,0,5
PATTERSON PLAYGROUND,0,0,1,1,0,0,0,2
PELHAM PARKWAY,0,0,1,1,0,0,0,2
PLAYGROUND 52 LII,0,0,0,0,0,1,0,1
PLAYGROUND ONE THIRTY FOUR CXXXIV,0,0,0,0,1,0,0,1
PONTIAC PLAYGROUND,0,0,2,0,0,0,0,2
RAILROAD PARK BRONX,0,0,0,1,0,0,0,1
RICHMAN (ECHO) PARK,0,0,0,1,0,0,0,1
RIVER AVENUE PARKS,0,0,0,1,0,0,0,1
SETON FALLS PARK,0,0,0,1,0,0,0,1
ST. MARY'S PARK BRONX,0,0,2,0,0,1,0,3
STARLIGHT PARK,0,0,1,1,0,0,0,2
TREMONT PARK,0,0,1,1,0,0,0,2
VAN CORTLANDT PARK,0,1,0,0,0,0,0,1
VIDALIA PARK,0,0,0,0,0,1,0,1
WASHINGTON PARK BRONX,0,0,1,0,0,0,0,1
WEBSTER PLAYGROUND,0,0,0,0,0,1,0,1
WILLIAMSBRIDGE OVAL,0,0,0,0,0,1,0,1
